tree id,site year,institutio,data colle,record cre,site id,site name,plot id,plot name,upload id,subplot nu,quad,tree numbe,inventory,stem type,species code,dbh (cm),soundness,crown clas,height (m),tree damag,tree notes,mean air t,mean air_1,mean air_2,precip avg,precip sou,precip s_1,grow seaso,grow sea_1,grow sea_2,institut_1,site db ti,describe d,domain,division,province,plot year,plot month,latitude,longitude,shape,plot measu,elevation,aspect,slope,landscape,int edge,edge dista,border typ,border wid,border asp,border slo,edge type,edge width,edge descr,floodplain,urban,fire,insect,disease,wind,mining,logging,other,other note,avg canopy,vegetation,vegetati_1,plot descr,forest siz,plot dbtim,soil order,soil ph,percent or,texture cl,soilbulk d,percent so,dom ground,sec ground,invasive p,invasive_1,forest ori,forest age,forest o_1,forest sta,precip12,precip s_2,precip s_3,plot data,plot dat_1,principal
1,2016,,7/15/2019,,,,,Broyles01,,,,1,RL,S,OXYARB,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2016,,7/15/2019,,,,,Broyles01,,,,2,RL,S,PINSTR,45.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2016,,7/15/2019,,,,,Broyles01,,,,3,RL,S,OXYARB,18.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2016,,7/15/2019,,,,,Broyles01,,,,4,RL,S,PINSTR,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2016,,7/15/2019,,,,,Broyles01,,,,5,RL,S,PINSTR,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2016,,7/15/2019,,,,,Broyles01,,,,7,RL,M,OXYARB,18.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2016,,7/15/2019,,,,,Broyles01,,,,8,RL,M,OXYARB,20.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2016,,7/15/2019,,,,,Broyles01,,,,9,RL,S,ACERUB,8.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2016,,7/15/2019,,,,,Broyles01,,,,10,RD,S,PINSTR,45.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2016,,7/15/2019,,,,,Broyles01,,,,11,RL,S,PINSTR,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2016,,7/15/2019,,,,,Broyles01,,,,12,RL,S,PINSTR,48.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2016,,7/15/2019,,,,,Broyles01,,,,13,RL,S,PINSTR,23.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2016,,7/15/2019,,,,,Broyles01,,,,14,RL,S,QUEMON,40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2016,,7/15/2019,,,,,Broyles01,,,,15,RD,S,QUEMON,24.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2016,,7/15/2019,,,,,Broyles01,,,,16,RL,S,PINSTR,12.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2016,,7/15/2019,,,,,Broyles01,,,,17,RL,S,PINSTR,15.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2016,,7/15/2019,,,,,Broyles01,,,,18,RL,S,OXYARB,13.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2016,,7/15/2019,,,,,Broyles01,,,,19,RL,M,OXYARB,4.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
