plot_name,plot_biomass_kg,plot_ba_sqm,carbon_stock,trees_present,most_common_tree,dominant_ba,total_ba,dominant_bm,total_bm,site_number,group,indc_spp,forest_group_ef,ba_sqm_ha,large_trees,large_prop
Broyles01,17288.38871,2.21706829,203.1385674,40,OXYARB,QUERUB,0.626049955,QUERUB,7288.000039,1,1,White Pine,8.333333333,18.47556908,3.425360018,0.140518205
Broyles02,9715.95936,1.488597312,114.1625225,43,LIRTUL,ACERUB,0.99887859,ACERUB,7131.409532,2,2,White Oak,2.777777778,4.134992534,1.766765423,0.042988554
Broyles03,19265.7246,3.123165989,226.372264,60,ACERUB,PINSTR,2.993566381,PINSTR,18815.43491,3,1,White Pine,8.333333333,26.02638325,6.880805396,0.253299781
Comp15_1,17389.18182,1.858296683,204.3228864,21,ACERUB,LIRTUL,0.512014269,CARGLA,4564.46086,4,3,Tulip Poplar,6.25,11.61435427,4.318486992,0.132097506
Comp15_2,8913.422717,1.015905475,104.7327169,22,LIRTUL,LIRTUL,0.367820099,LIRTUL,2401.857686,5,3,Tulip Poplar,6.25,6.34940922,0.701843016,0.041882985
EAB_02,7114.836627,1.00757945,83.59933036,35,ACESAC,ACESAC,0.419342339,FRAAME,2694.742265,6,4,Black Cherry,2.777777778,2.798831805,1.69128376,0.056196747
PFPP-EDGE1,10357.91182,1.748972702,121.7054639,55,ACESAC,PRUSER,1.258998556,PRUSER,7838.175643,7,4,Black Cherry,2.777777778,4.858257507,0.686387927,0.015665962
PFPP-EDGE3,9940.735128,1.251077797,116.8036378,20,ACESAC,PRUSER,0.575655788,PRUSER,4501.914782,8,4,Black Cherry,2.777777778,3.475216103,3.061532863,0.07280816
PFPP-EDGE5,5494.479891,0.94571899,64.56013872,44,ACESAC,ACESAC,0.432819017,ACESAC,2428.302504,9,4,Black Cherry,2.777777778,2.626997193,0,0
PFPP-INT2,7667.386158,1.322513854,90.09178735,48,ACESAC,PRUSER,0.769344853,PRUSER,4681.450892,10,4,Black Cherry,2.777777778,3.673649595,0,0
PFPP-INT4,9625.000526,1.528835293,113.0937562,38,ACESAC,PRUSER,0.659601697,PRUSER,4443.331893,11,4,Black Cherry,2.777777778,4.246764702,0.950687635,0.023350529
PFPP-INT6,6157.218381,1.036556783,72.34731598,48,ACESAC,ACESAC,0.336539188,PRUSER,1931.376298,12,4,Black Cherry,2.777777778,2.879324397,0,0
PLOT100,7789.258694,1.127829688,91.52378965,36,ACERUB,QUEVEL,0.375133744,QUEVEL,2789.929633,13,2,White Oak,2.777777778,3.132860243,0.777382403,0.023593817
PLOT200,10526.26174,1.529041554,123.6835754,51,NYSSYL,QUEVEL,0.532515337,QUEVEL,4415.161488,14,2,White Oak,2.777777778,4.247337651,0,0
PLOT300,6215.690088,1.057973039,73.03435853,55,ACERUB,ACERUB,0.389875702,ACERUB,1949.49102,15,2,White Oak,2.777777778,2.938813996,0,0
PLOT500,10335.68209,1.678485409,121.4442646,40,CORFLO,PINSTR,0.51530094,PINSTR,3675.336942,16,1,White Pine,8.333333333,13.98737841,1.727408363,0.118532314
PLOT600,12083.8459,1.408234766,141.9851894,31,OSTVIR,LIRTUL,0.89920446,LIRTUL,9297.809579,17,3,Tulip Poplar,6.25,8.80146729,4.369970502,0.192360314
PLOT700,5170.53517,0.84805607,60.75378825,42,FRAAME,FRAAME,0.54426178,FRAAME,3665.679889,18,4,Black Cherry,2.777777778,2.355711307,0,0
PLOT800,2339.231599,0.44169011,27.48597129,23,FRAAME,PINVIR,0.271570114,PINVIR,1563.219984,19,4,Black Cherry,2.777777778,1.226916973,0,0
SCrk112E,6298.301864,1.209894563,74.0050469,65,ACERUB,LIRTUL,0.621824742,LIRTUL,3523.988957,20,3,Tulip Poplar,6.25,7.561841017,0,0
SCrk113E,7297.529733,1.102707098,85.74597436,42,OXYARB,QUEMON,0.331260514,QUEMON,2424.928928,21,2,White Oak,2.777777778,3.063075272,0,0
SCrk114E,6383.035382,1.034609776,75.00066574,46,NYSSYL,QUEALB,0.398240212,QUEALB,2906.974396,22,2,White Oak,2.777777778,2.873916045,0,0
SCrk125E,9264.495884,1.349293638,108.8578266,53,NYSSYL,QUECOC,0.455747985,QUECOC,4078.417268,23,2,White Oak,2.777777778,3.748037883,1.272098675,0.032460757
SCrk61W,10223.50932,1.470781666,120.1262345,39,ACERUB,QUEMON,0.413099194,QUEMON,3412.05938,24,2,White Oak,2.777777778,4.085504628,0.698439973,0.016150602
SCrk71W,9736.262266,1.384394735,114.4010816,33,ACERUB,QUEALB,0.623329568,QUEALB,5391.801924,25,2,White Oak,2.777777778,3.84554093,0.9547545,0.023182437
