plot.name,date.collected,tree.number,inventory,stem.type,species.code,dbh.cm
SCrk114E,2/3/2014,2,RL,S,ACERUB,3.6
SCrk114E,2/3/2014,11,RL,S,ACERUB,7.9
SCrk114E,2/3/2014,18,RL,S,ACERUB,9.5
SCrk114E,2/3/2014,40,RL,S,ACERUB,14.5
SCrk114E,2/3/2014,41,RL,S,ACERUB,4.3
SCrk114E,2/3/2014,55,RL,S,ACERUB,5.5
SCrk71W,2/3/2014,1,RL,S,ACERUB,19.7
SCrk71W,2/3/2014,2,RL,S,ACERUB,16.9
SCrk71W,2/3/2014,7,RL,S,ACERUB,31.3
SCrk71W,2/3/2014,8,RL,S,ACERUB,8.6
SCrk71W,2/3/2014,9,RL,S,ACERUB,12.7
SCrk71W,2/3/2014,10,RL,S,ACERUB,19.8
SCrk71W,2/3/2014,12,RL,S,ACERUB,25.1
SCrk71W,2/3/2014,21,RL,S,ACERUB,35
SCrk113E,2/3/2014,5,RL,S,ACERUB,5
SCrk113E,2/3/2014,15,RL,S,ACESAC,5.4
SCrk113E,2/3/2014,18.1,RL,M,ACERUB,8.7
SCrk113E,2/3/2014,24,RL,S,ACERUB,3.9
SCrk113E,2/3/2014,54,RL,S,ACERUB,10.3
SCrk112E,2/3/2014,11,RL,S,ACERUB,3.7
SCrk112E,2/3/2014,40,RL,S,ACERUB,12
SCrk112E,2/3/2014,44,RL,S,ACERUB,6
SCrk112E,2/3/2014,46,RL,S,ACERUB,4.4
SCrk112E,2/3/2014,60,RL,S,ACERUB,8.5
SCrk112E,2/3/2014,61,RL,S,ACESAC,22.7
SCrk112E,2/3/2014,69,RL,S,ACESAC,4.1
SCrk112E,2/3/2014,70,RL,M,ACERUB,15.8
SCrk112E,2/3/2014,71,RL,M,ACERUB,8
SCrk112E,2/3/2014,78,RL,S,ACERUB,7.8
SCrk112E,2/3/2014,81,RL,S,ACERUB,4.8
SCrk112E,2/3/2014,85,RL,S,ACERUB,14.4
SCrk112E,2/3/2014,93,RL,S,ACERUB,10.8
SCrk112E,2/3/2014,96,RL,S,ACERUB,5.8
SCrk112E,2/3/2014,110,RL,S,ACERUB,10.2
SCrk61W,2/3/2014,4.1,RL,M,ACERUB,13.5
SCrk61W,2/3/2014,4.2,RL,M,ACERUB,11.5
SCrk61W,2/3/2014,13.1,RL,M,ACERUB,14.7
SCrk61W,2/3/2014,14,RL,S,ACERUB,16.6
SCrk61W,2/3/2014,19,RL,S,ACERUB,6.5
SCrk61W,2/3/2014,22,RL,S,ACERUB,19.2
SCrk61W,2/3/2014,23.1,RL,M,ACERUB,21.1
SCrk61W,2/3/2014,28,RL,S,ACERUB,39
SCrk61W,2/3/2014,29,RL,S,ACERUB,3.6
SCrk61W,2/3/2014,31,RL,S,ACERUB,3.5
SCrk61W,2/3/2014,35,RL,S,ACERUB,4.3
SCrk61W,2/3/2014,36,RL,S,ACERUB,8.4
SCrk125E,4/1/2015,20,RL,M,ACESAC,7.6
SCrk125E,4/1/2015,20.1,RL,M,ACESAC,8
SCrk125E,4/1/2015,27,RL,M,ACERUB,7.2
SCrk125E,4/1/2015,27.1,RL,M,ACERUB,4.5
SCrk125E,4/1/2015,28,RL,M,ACERUB,5
SCrk125E,4/1/2015,28.1,RL,M,ACERUB,3
PFPP-EDGE1,9/10/2014,1,RL,S,ACESAC,5.6
PFPP-EDGE1,9/10/2014,2,RL,S,ACESAC,9.1
PFPP-EDGE1,9/10/2014,3,RL,S,ACESAC,10.6
PFPP-EDGE1,9/10/2014,5,RL,S,ACESAC,11.9
PFPP-EDGE1,9/10/2014,7,RL,S,ACESAC,4.1
PFPP-EDGE1,9/10/2014,8,RL,S,ACESAC,14.2
PFPP-EDGE1,9/10/2014,14,RL,S,ACESAC,17.6
PFPP-EDGE1,9/10/2014,15,RL,S,ACESAC,25.2
PFPP-EDGE1,9/10/2014,16,RL,S,ACESAC,25.7
PFPP-EDGE1,9/10/2014,19,RL,S,ACESAC,9.6
PFPP-EDGE1,9/10/2014,23.1,RL,M,ACESAC,21
PFPP-EDGE1,9/10/2014,23.2,RL,M,ACESAC,12.2
PFPP-EDGE1,9/10/2014,26,RL,S,ACESAC,6.7
PFPP-EDGE1,9/10/2014,27,RL,S,ACESAC,5.9
PFPP-EDGE1,9/10/2014,28,RL,S,ACESAC,3.6
PFPP-EDGE1,9/10/2014,29,RL,S,ACESAC,11.5
PFPP-EDGE1,9/10/2014,31,RL,S,ACESAC,5.9
PFPP-EDGE1,9/10/2014,32,RL,S,ACESAC,3.4
PFPP-EDGE1,9/10/2014,34,RL,S,ACESAC,14
PFPP-EDGE1,9/10/2014,35,RL,S,ACESAC,7.4
PFPP-EDGE1,9/10/2014,36,RL,S,ACESAC,7.9
PFPP-EDGE1,9/10/2014,38,RL,S,ACESAC,7.1
